Date,Time,Actual,Predicted
2024-02-07,00:48:00,60.007,2.652708
2024-07-02,22:49:00,20.43,52.09753
2024-04-07,14:52:00,0.064,209.06349
2024-03-04,17:45:00,11.163,43.496166
2024-04-03,20:11:00,89.976,25.644966
2024-02-04,19:43:00,40.093,58.633465
2024-03-03,19:15:00,0.0,36.270004
2024-05-07,00:21:00,10.837,0.4061578
2024-05-02,08:00:00,290.493,272.87506
2024-04-04,21:41:00,10.023,26.130371
2024-04-02,17:19:00,10.694,45.604958
2024-01-03,21:08:00,40.113,252.05733
2024-04-03,16:45:00,8.403,44.430847
2024-03-07,19:52:00,0.58,153.82477
2024-04-07,00:35:00,0.22,0.53665966
2024-03-06,19:56:00,8.64,83.559814
2024-06-07,16:42:00,9.696,84.7285
2024-03-06,00:13:00,28.987,0.94874114
2024-04-07,00:04:00,8.956,0.012609136
2024-05-02,18:11:00,39.367,77.061134
2024-03-04,18:51:00,19.296,34.504353
2024-04-02,18:37:00,0.343,15.558501
2024-03-04,23:03:00,20.983,17.39779
2024-04-04,19:12:00,29.6,40.59878
2024-04-03,22:30:00,8.53,16.447887
2024-02-06,23:28:00,0.627,123.24112
2024-04-03,21:43:00,29.914,16.200964
2024-07-01,18:41:00,199.19,171.05461
2024-03-06,17:18:00,69.786,53.451553
2024-04-04,18:25:00,119.4,49.773773
2024-07-02,22:53:00,0.077,51.81977
2024-05-06,23:46:00,29.917,68.322266
2024-02-03,21:38:00,10.027,14.336063
2024-03-07,05:33:00,1159.723,117.6237
2024-06-02,06:54:00,4300.903,1252.1221
2024-06-05,17:26:00,38.61,134.23627
2024-03-03,21:06:00,0.816,20.593067
2024-06-02,09:45:00,2570.373,349.053
2024-02-04,23:31:00,0.377,25.96798
2024-04-02,18:27:00,1.66,16.351828
2024-03-04,22:19:00,10.794,20.392735
2024-06-02,00:09:00,10.213,164.79642
2024-04-05,20:18:00,40.363,58.915474
2024-02-04,21:34:00,49.57299999999999,47.82362
2024-03-03,22:06:00,19.52,13.978841
2024-02-01,06:05:00,940.76,3256.4019
2024-02-02,21:45:00,8.29,28.801529
2024-04-04,21:48:00,19.15,25.51628
2024-03-06,00:38:00,0.7999999999999999,3.3333044
2024-06-07,11:45:00,20.58,185.42418
2024-01-02,22:33:00,289.94,263.3107
2024-04-01,22:33:00,120.0,87.44233
2024-06-06,00:06:00,9.11,0.49181283
2024-03-05,19:18:00,11.95,51.17623
2024-03-01,21:41:00,10.34,176.37384
2024-07-03,16:34:00,160.407,96.85904
2024-05-04,19:15:00,129.003,59.54439
2024-04-03,10:22:00,323.764,434.09894
2024-04-03,17:11:00,0.064,43.351776
2024-04-03,08:11:00,19.223,58.61607
2024-04-01,22:36:00,0.08,132.83797
2024-04-03,19:41:00,0.173,7.943265
2024-05-06,00:27:00,0.52,0.9821517
2024-03-05,20:11:00,0.25,44.502018
2024-03-07,00:04:00,40.764,0.079710945
2024-04-04,18:33:00,29.11,46.419712
2024-04-02,21:22:00,7.07,20.677057
2024-02-04,22:56:00,9.003,33.71343
2024-02-04,21:56:00,0.11,37.225033
2024-06-04,19:53:00,100.9,70.87308
2024-04-07,00:51:00,10.18,0.25879005
2024-05-02,18:25:00,9.91,70.86578
2024-03-03,20:11:00,10.047,19.573505
2024-03-06,17:37:00,16.68,115.34629
2024-04-04,21:43:00,30.267,25.924353
2024-03-06,00:18:00,19.51,0.88935566
2024-04-06,00:39:00,19.987,0.64006186
2024-06-01,10:03:00,879.44,430.26117
2024-03-05,00:48:00,160.97,46.61595
2024-03-04,18:45:00,9.693,37.554928
2024-05-01,05:24:00,650.034,638.0457
2024-05-03,16:15:00,61.054,112.09433
2024-06-06,19:07:00,89.617,150.44925
2024-04-01,22:31:00,0.016,64.134476
2024-04-03,18:19:00,7.124,15.270502
2024-01-02,00:48:00,19.676,30.369898
2024-02-06,03:06:00,40.13,56.250713
2024-06-02,18:52:00,150.137,74.12892
2024-04-04,21:19:00,64.236,27.75626
2024-05-03,18:38:00,19.663,55.326523
2024-03-03,21:18:00,0.484,16.859869
2024-04-02,18:18:00,0.516,17.337706
2024-03-07,00:35:00,0.42,0.07986436
2024-07-03,08:31:00,10.147,777.8281
2024-03-03,21:28:00,0.077,6.0611916
2024-06-07,07:57:00,1230.107,444.32925
2024-04-04,16:30:00,149.843,89.453674
2024-03-03,20:27:00,1.42,18.52422
2024-04-02,18:06:00,0.094,18.865118
2024-03-06,19:07:00,0.097,92.55423
2024-06-03,00:51:00,500.423,36.952873
2024-06-07,16:42:00,20.207,84.7285
2024-04-07,21:11:00,9.457,120.58564
2024-02-04,22:11:00,30.37,49.644745
2024-04-03,16:52:00,20.777,41.906967
2024-03-04,22:26:00,8.703,18.12607
2024-07-05,17:49:00,99.517,76.82801
2024-03-04,18:26:00,10.507,37.793682
2024-04-05,22:27:00,19.81,40.004868
2024-03-03,22:11:00,0.25,4.188766
2024-04-03,19:51:00,8.504,7.674465
2024-03-04,13:42:00,31.58,294.93668
2024-04-07,01:10:00,9.89,1.663119
2024-03-03,16:56:00,27.996,82.30858
2024-03-03,20:45:00,9.86,17.470905
2024-05-03,16:38:00,130.006,110.43815
2024-05-04,22:52:00,89.79,28.502438
2024-06-02,19:26:00,160.463,77.39972
2024-07-03,18:48:00,49.073,74.78293
2024-04-07,17:00:00,591.007,173.35168
2024-04-03,20:07:00,1.347,26.593124
2024-05-01,22:03:00,10.047,205.69145
2024-03-03,21:19:00,0.343,6.255871
2024-03-05,04:25:00,60.27300000000001,225.28285
2024-03-06,20:00:00,1.144,88.404335
2024-07-07,15:07:00,29.08,58.278683
2024-02-02,19:08:00,21.037,187.10905
2024-06-03,18:45:00,23.857,69.60244
2024-06-07,09:54:00,580.3,276.85883
2024-06-06,15:52:00,80.923,104.46864
2024-04-02,20:04:00,0.143,18.929659
2024-04-03,22:33:00,0.187,16.282846
2024-05-07,12:07:00,120.59999999999998,171.0082
2024-04-04,20:28:00,0.064,32.18268
2024-02-02,18:11:00,9.64,84.526855
2024-06-07,15:40:00,530.11,59.399055
2024-06-03,20:58:00,14.833,43.419777
2024-03-03,18:28:00,9.543,30.06237
2024-03-01,21:03:00,113.563,201.7749
2024-06-07,00:07:00,97.707,0.13205162
2024-03-06,23:00:00,47.167,52.874073
2024-04-07,00:38:00,10.3,0.3612265
2024-04-07,12:11:00,379.757,307.6979
2024-04-03,20:36:00,0.877,22.04616
2024-04-03,17:15:00,9.07,71.74098
2024-01-02,20:07:00,38.943,307.3142
2024-03-05,19:34:00,9.44,54.437687
2024-03-06,23:45:00,20.407,46.268204
2024-07-02,19:13:00,9.536,63.747833
2024-06-07,10:39:00,90.6,239.90996
2024-06-04,18:19:00,19.037,89.86025
2024-03-03,21:13:00,0.14,6.389102
2024-03-07,20:48:00,189.26300000000003,133.06772
2024-03-01,21:30:00,69.903,174.48473
2024-03-02,21:10:00,10.486,29.362795
2024-06-04,17:32:00,54.517,112.94771
2024-06-05,00:33:00,20.21,57.581417
2024-04-04,08:01:00,12.14,66.36647
2024-04-07,00:12:00,10.003,0.119072326
2024-06-07,13:46:00,20.01,89.34578
2024-03-06,16:11:00,46.493,15.262177
2024-03-04,21:13:00,10.533,21.668213
2024-04-03,20:11:00,19.61,26.286875
2024-04-04,17:52:00,0.61,57.201214
2024-04-05,23:13:00,20.14,34.57736
2024-06-07,00:44:00,139.977,1.3263605
2024-06-04,18:37:00,7.373000000000001,85.83292
2024-04-06,03:53:00,29.423,277.4771
2024-03-05,04:52:00,29.633,214.34903
2024-03-04,19:37:00,100.364,31.181053
2024-03-04,18:38:00,39.63,36.111603
