Date,Time,Actual,Predicted
2024-04-03,23:33:00,9.783,1.1578221
2024-04-04,20:57:00,0.88,16.648508
2024-07-06,11:07:00,10.06,109.6367
2024-07-04,21:48:00,20.05,49.02159
2024-04-02,17:26:00,118.843,75.61327
2024-04-03,23:15:00,14.986,1.3356878
2024-03-04,21:11:00,1.076,10.4676285
2024-04-06,23:42:00,9.88,16.089025
2024-07-04,13:52:00,166.37,255.13185
2024-03-03,21:26:00,0.5600000000000002,5.2302566
2024-04-04,00:21:00,3.173,52.449963
2024-04-07,00:51:00,0.11,0.9049518
2024-03-07,00:33:00,0.284,4.078173
2024-03-02,21:30:00,8.833,22.530651
2024-04-05,04:17:00,60.63,136.06943
2024-03-05,08:18:00,70.32,780.7548
2024-04-02,22:46:00,0.157,6.4211164
2024-05-07,18:45:00,70.033,229.3872
2024-03-06,22:37:00,20.447,16.38706
2024-03-04,07:24:00,1240.35,139.45763
2024-04-04,22:30:00,8.526,7.4692173
2024-03-06,17:19:00,10.23,20.071001
2024-03-04,22:45:00,0.393,7.0331507
2024-04-03,16:26:00,0.41,83.752495
2024-03-03,22:23:00,0.046,7.387596
2024-04-03,22:37:00,9.997,10.251058
2024-06-06,14:46:00,59.887,153.25749
2024-07-03,22:06:00,0.343,45.659008
2024-04-06,23:45:00,8.733,15.817617
2024-06-06,23:41:00,57.934,89.283226
2024-03-04,18:19:00,0.094,35.48006
2024-02-06,19:26:00,95.56,332.73593
2024-07-06,11:54:00,19.873,145.566
2024-04-04,22:15:00,8.213,8.317793
2024-05-01,14:43:00,60.997,1006.35455
2024-03-04,21:48:00,18.917,10.760806
2024-06-05,17:47:00,19.83,180.93376
2024-03-06,05:10:00,279.82,311.78757
2024-03-06,22:41:00,31.7,14.65037
2024-03-06,22:37:00,12.187,15.1491375
2024-03-04,21:56:00,9.543,8.731701
2024-04-07,00:28:00,0.017,0.48227507
2024-04-02,22:48:00,0.123,6.3763885
2024-03-04,20:13:00,9.707000000000004,16.021923
2024-06-07,11:45:00,20.946,121.23592
