Date,Time,Actual,Predicted
2024-02-02,21:42:00,0.0129999999999999,14.919968
2024-03-02,20:23:00,19.72,14.100043
2024-04-03,18:43:00,8.75,20.08985
2024-04-03,16:41:00,0.283,23.36323
2024-06-04,22:58:00,8.193,13.217431
2024-06-04,21:18:00,9.903,0.044974755
2024-03-06,17:33:00,7.583,155.60977
2024-06-07,13:28:00,19.030000000000005,102.20669
2024-03-02,21:04:00,9.777,23.315918
2024-07-04,21:38:00,0.077,20.370565
2024-04-02,18:21:00,9.703,17.468946
2024-06-07,14:45:00,49.767,75.1134
2024-03-02,17:44:00,59.724,85.71516
2024-04-03,20:45:00,0.173,12.052257
2024-06-01,20:27:00,1.05,90.29093
2024-02-06,18:28:00,19.977,672.7149
2024-04-02,23:26:00,19.67,7.555985
2024-05-05,23:04:00,49.813,19.96723
2024-04-02,20:48:00,6.146,13.367265
2024-02-03,22:11:00,0.017,25.560394
2024-04-02,20:51:00,0.123,13.15474
2024-03-04,22:04:00,8.734,13.189338
2024-07-03,20:57:00,9.817,21.04434
2024-03-03,19:46:00,0.03,18.76077
2024-04-04,18:16:00,8.85,26.934248
2024-06-02,17:00:00,20.457,84.83069
2024-06-02,23:21:00,20.563,20.335789
2024-05-07,17:45:00,29.98,118.88444
2024-02-04,19:00:00,11.213,61.136406
2024-05-01,17:37:00,119.423,235.58723
2024-03-02,19:57:00,7.917,31.870602
2024-04-01,21:41:00,29.897,85.22435
2024-04-06,22:41:00,18.887000000000004,46.303036
2024-06-04,18:28:00,0.517,48.095325
2024-07-04,22:38:00,60.58,16.08839
2024-07-02,19:51:00,0.047,33.61376
2024-06-05,17:34:00,50.973,63.094337
2024-02-03,23:48:00,29.17,27.290874
2024-03-03,22:10:00,0.156,1.364434
2024-04-06,23:07:00,17.877,41.179348
2024-03-02,21:37:00,8.957,20.578478
2024-06-03,22:30:00,18.387,13.063249
2024-06-01,21:19:00,0.39,63.652782
2024-03-02,20:45:00,9.967000000000002,24.891554
2024-04-03,21:34:00,0.4569999999999999,6.40146
2024-04-06,20:06:00,935.767,94.7892
2024-04-02,20:41:00,3.12,18.068785
2024-06-03,22:46:00,19.923,15.025792
2024-04-02,21:15:00,19.113,15.279686
2024-04-04,22:26:00,9.8,10.836544
2024-03-06,13:20:00,25.436,84.6711
2024-03-02,19:58:00,20.706,31.73519
2024-04-02,21:23:00,0.0,16.89518
2024-03-01,21:48:00,69.657,105.595955
2024-07-02,23:41:00,39.973,15.20758
2024-03-01,11:39:00,1035.34,1835.6235
2024-04-02,22:00:00,39.78,12.726327
2024-04-02,22:46:00,0.3129999999999999,9.076564
2024-06-07,12:13:00,19.02,133.62947
2024-05-04,18:48:00,91.166,30.96064
2024-03-03,22:13:00,28.91,5.631906
2024-06-07,19:37:00,41.27,71.08474
2024-04-01,22:57:00,9.8,62.62216
2024-06-02,21:46:00,9.984,30.356508
2024-04-02,21:11:00,10.556,15.702077
2024-03-02,22:33:00,0.253,17.362576
2024-04-04,21:00:00,0.233,12.56411
2024-03-07,00:39:00,120.863,39.98186
2024-03-04,22:07:00,0.234,8.268019
2024-06-07,15:52:00,49.026,63.310604
2024-03-03,19:03:00,6.93,12.925609
2024-04-01,18:37:00,219.91,175.44856
2024-05-04,16:41:00,39.083,74.12483
2024-04-04,19:11:00,0.127,18.71819
2024-03-03,19:33:00,9.396000000000004,19.996397
2024-06-02,16:32:00,109.17,96.79338
2024-07-03,22:13:00,0.61,17.346931
2024-05-02,20:38:00,20.773,40.83542
2024-06-04,21:01:00,0.11,26.627699
2024-01-03,21:06:00,19.14,138.77222
2024-04-02,16:56:00,9.88,81.77897
2024-03-06,23:56:00,19.827,36.835922
2024-03-02,21:45:00,0.094,8.900123
2024-02-03,17:22:00,28.987,65.75271
2024-05-07,17:45:00,10.323,118.88444
2024-04-03,20:21:00,0.124,10.428692
2024-04-02,21:18:00,0.173,17.348
2024-04-07,12:52:00,3.11,204.53568
2024-06-03,23:16:00,29.19,13.041938
2024-03-04,18:26:00,10.367,21.702057
2024-05-04,22:15:00,20.164,8.5376005
2024-02-02,21:53:00,8.677,14.260431
2024-04-01,21:15:00,19.69,95.638405
2024-03-01,22:03:00,19.61,95.75985
2024-03-02,21:11:00,9.633,10.878739
2024-06-06,22:45:00,10.146,31.947699
2024-04-04,22:51:00,9.36,9.740125
2024-04-04,20:57:00,0.283,16.449331
2024-03-06,16:18:00,78.73299999999999,180.51477
2024-03-04,23:04:00,9.68,6.870136
2024-03-04,21:08:00,0.28,16.956331
2024-02-02,21:19:00,8.917,16.399158
2024-04-03,18:58:00,0.767,7.5450053
2024-06-03,21:21:00,10.063,23.203104
2024-04-07,10:50:00,1437.637,212.29544
2024-03-04,19:22:00,0.06,16.782618
2024-04-04,21:01:00,0.22,12.507059
2024-02-04,22:21:00,0.127,27.335583
2024-03-03,21:48:00,0.127,10.189877
2024-03-04,19:04:00,0.91,18.412434
2024-04-05,19:43:00,530.737,43.586216
2024-03-02,21:06:00,0.39,32.372097
2024-04-04,22:01:00,39.247,11.055714
2024-07-04,17:22:00,8.85,51.04555
2024-04-03,19:11:00,1.077,5.418962
2024-04-02,21:36:00,1.15,13.745463
2024-06-01,23:21:00,30.046,44.468384
2024-07-02,20:51:00,20.65,27.737345
2024-04-02,22:15:00,0.537,17.489391
2024-06-03,19:03:00,210.133,44.263554
2024-03-03,21:33:00,29.967,6.4380097
2024-06-02,21:36:00,0.973,34.41799
2024-03-03,18:21:00,0.317,29.510628
2024-06-02,21:31:00,19.333,29.554165
2024-02-01,19:03:00,120.59,264.43677
2024-06-05,14:18:00,251.013,180.24109
2024-04-04,21:22:00,0.0969999999999999,14.537066
2024-04-02,20:18:00,0.157,20.53918
2024-04-02,16:18:00,0.314,99.94726
2024-04-04,07:29:00,39.584,200.43585
2024-05-05,14:37:00,10.317,145.2048
2024-04-03,22:53:00,0.894,6.8384314
2024-07-02,18:18:00,0.1069999999999999,47.88237
2024-06-01,21:38:00,109.98,54.170578
2024-04-03,21:16:00,10.233,8.068764
2024-06-07,15:50:00,39.91,69.43597
2024-04-01,12:07:00,659.807,1021.3219
2024-06-05,00:06:00,30.08,279.3471
2024-04-03,21:18:00,7.76,8.026439
2024-03-03,18:37:00,7.97,10.317639
2024-06-02,17:44:00,9.96,72.23411
2024-05-04,21:56:00,59.926,9.695179
2024-06-07,17:49:00,8.163,63.370033
2024-02-04,20:08:00,29.79,45.454674
2024-03-04,19:48:00,17.537,14.679643
2024-04-03,21:46:00,0.017,5.3980947
2024-06-04,21:00:00,49.747,0.049719594
2024-04-04,17:25:00,20.133,39.092415
2024-04-03,18:11:00,0.593,24.706669
2024-04-06,00:24:00,9.713,69.7616
2024-03-04,20:11:00,9.38,15.18739
2024-03-04,17:53:00,20.783,24.612965
2024-04-02,17:55:00,1.34,30.36869
2024-04-04,22:30:00,11.007,10.579482
2024-06-05,16:48:00,70.043,78.15182
2024-06-07,01:43:00,8950.45,877.6863
2024-03-04,16:48:00,0.077,45.450497
2024-03-04,18:41:00,0.17,20.042013
2024-04-03,22:33:00,10.583,4.1943984
2024-03-03,21:03:00,0.25,2.1579435
2024-04-02,22:08:00,7.867,11.097736
2024-04-02,22:41:00,9.187,9.369312
2024-03-03,16:53:00,49.64,32.90638
2024-03-03,22:58:00,20.307,1.0672638
2024-02-04,19:03:00,20.86,67.33859
2024-07-03,22:31:00,19.533,16.325764
2024-03-04,23:06:00,0.343,10.307759
2024-03-03,18:03:00,8.656,12.811272
2024-03-03,09:22:00,1585.816,1303.0338
2024-03-03,18:33:00,0.11,10.49049
2024-03-06,13:12:00,129.59,86.93297
2024-04-03,21:07:00,10.35,7.6227174
2024-02-02,20:37:00,0.14,14.1587305
2024-03-06,22:49:00,0.22,48.662838
2024-07-04,17:30:00,78.967,49.466106
2024-02-04,21:38:00,9.723,30.996033
2024-07-02,22:58:00,0.156,18.03836
2024-05-01,22:37:00,779.987,55.841637
2024-07-03,22:00:00,9.793,18.185131
2024-03-03,18:25:00,0.03,28.936947
2024-07-02,18:34:00,12.424,45.157784
2024-04-03,22:18:00,0.343,7.9548826
2024-03-04,22:03:00,8.943,8.386286
2024-03-01,21:13:00,20.146,126.421104
2024-04-06,19:19:00,1.237,118.701866
2024-04-03,18:55:00,9.333,18.710808
2024-07-03,21:51:00,0.11,17.652294
2024-03-07,00:01:00,3.937,24.101854
2024-04-05,00:18:00,0.204,7.409789
2024-04-05,15:43:00,349.016,117.42369
2024-04-04,18:33:00,1.36,35.519066
2024-04-03,18:46:00,0.064,8.108196
