Date,Time,Actual,Predicted
2024-04-04,07:32:00,0.033,147.07372
2024-03-06,16:26:00,0.25,184.94621
2024-06-07,00:54:00,578.783,8379.112
2024-07-01,18:18:00,520.177,1645.1476
2024-02-03,09:58:00,118.134,157.44539
2024-03-03,18:25:00,31.03,117.563614
2024-03-06,19:12:00,39.39,40.268753
2024-02-02,06:21:00,324.20400000000006,535.0039
2024-06-05,17:12:00,9.927,269.42252
2024-05-04,11:18:00,47.013,191.92844
2024-06-05,22:00:00,219.434,633.35046
2024-02-02,07:41:00,39.32,293.62808
2024-04-06,18:56:00,19.607,134.23769
2024-05-07,06:44:00,20.007,1040.029
2024-05-02,18:16:00,10.484,677.39496
2024-03-05,19:57:00,19.38,350.37518
2024-03-06,19:45:00,8.683,45.09305
2024-02-03,07:30:00,160.187,316.58118
2024-06-05,15:54:00,31.17,233.0899
2024-07-01,14:24:00,293.29,822.4071
2024-02-04,09:24:00,210.397,224.1785
2024-06-04,18:01:00,19.687,360.33945
2024-04-03,17:40:00,18.223,94.915565
2024-04-03,20:22:00,40.887,297.37347
2024-02-06,20:49:00,109.517,403.05527
2024-02-07,12:21:00,110.527,343.30023
2024-05-03,17:21:00,20.16,344.31082
2024-06-07,10:46:00,30.596,360.1799
2024-07-04,05:48:00,179.517,1299.727
2024-04-04,19:41:00,90.804,214.58427
2024-07-07,12:16:00,19.493,305.9061
2024-04-04,09:05:00,10.514,98.10443
2024-05-07,12:31:00,19.77,191.60718
2024-03-01,12:07:00,1264.78,707.05
2024-03-04,14:54:00,32.24,105.800255
2024-06-05,18:57:00,20.11,363.13538
2024-04-04,22:33:00,21.08,563.9336
2024-03-06,22:42:00,20.283000000000005,334.77792
2024-03-01,12:15:00,484.277,687.3016
2024-05-02,12:18:00,757.966,333.93558
2024-07-01,08:31:00,89.66,432.80414
2024-04-05,18:25:00,0.046,124.1485
2024-04-04,09:01:00,9.984,101.98438
2024-04-04,08:20:00,19.88,117.25453
2024-03-03,18:23:00,105.557,158.79854
2024-04-02,18:46:00,9.920000000000002,102.280655
2024-07-06,18:07:00,20.677,388.65363
2024-07-01,01:04:00,10502.35,2123.8308
2024-02-05,19:28:00,28.742999999999995,326.96094
2024-03-06,19:11:00,13.993,160.44182
2024-03-05,18:56:00,100.28,154.44461
2024-05-03,08:05:00,29.517,230.48369
2024-04-06,19:22:00,19.687,147.36356
2024-01-02,12:54:00,67.323,955.4006
2024-04-04,19:19:00,20.973,200.36632
2024-05-06,14:46:00,60.087,199.68645
2024-07-03,08:31:00,44.587,165.13614
2024-02-04,07:52:00,9.647,279.28845
2024-05-05,13:35:00,652.797,95.71441
2024-04-02,15:46:00,0.733,185.86119
2024-06-02,20:36:00,40.886,1191.6309
2024-04-02,22:00:00,58.93,736.2878
2024-04-02,08:15:00,0.187,226.82912
2024-07-03,08:11:00,30.203,181.60022
2024-04-04,15:43:00,539.957,105.97249
2024-07-03,08:43:00,20.277,166.7746
2024-06-05,17:12:00,18.49,269.42252
2024-04-05,15:35:00,20.933,96.7669
2024-04-04,07:41:00,7.29,144.39412
2024-03-06,19:56:00,29.65,210.35802
2024-02-07,18:27:00,990.17,675.25336
